County,AD,ED,Name,Votes
New York,AD65,ED1,MELISSA MARK-VIVERITO,23
New York,AD65,ED1,MICHAEL A. BLAKE,9
New York,AD65,ED1,DAWN L. SMALLS,15
New York,AD65,ED1,ERIC A. ULRICH,23
New York,AD65,ED1,YDANIS RODRIGUEZ,0
New York,AD65,ED1,DANIEL J. O'DONNELL,5
New York,AD65,ED1,RAFAEL L. ESPINAL JR.,3
New York,AD65,ED1,LATRICE M. WALKER,0
New York,AD65,ED1,JUMAANE D. WILLIAMS,43
New York,AD65,ED1,RON KIM,4
New York,AD65,ED1,BENJAMIN L. YEE,5
New York,AD65,ED1,A. MANNY ALICANDRO,2
New York,AD65,ED1,NOMIKI D. KONST,1
New York,AD65,ED1,DAVID EISENBACH,2
New York,AD65,ED1,JARED RICH,0
New York,AD65,ED1,ANTHONY TONY HERBERT,1
New York,AD65,ED1,HELAL A. SHEIKH,0
New York,AD65,ED1,WRITE-IN,1
New York,AD65,ED2,MELISSA MARK-VIVERITO,13
New York,AD65,ED2,MICHAEL A. BLAKE,10
New York,AD65,ED2,DAWN L. SMALLS,6
New York,AD65,ED2,ERIC A. ULRICH,18
New York,AD65,ED2,YDANIS RODRIGUEZ,0
New York,AD65,ED2,DANIEL J. O'DONNELL,2
New York,AD65,ED2,RAFAEL L. ESPINAL JR.,0
New York,AD65,ED2,LATRICE M. WALKER,0
New York,AD65,ED2,JUMAANE D. WILLIAMS,23
New York,AD65,ED2,RON KIM,1
New York,AD65,ED2,BENJAMIN L. YEE,2
New York,AD65,ED2,A. MANNY ALICANDRO,0
New York,AD65,ED2,NOMIKI D. KONST,0
New York,AD65,ED2,DAVID EISENBACH,1
New York,AD65,ED2,JARED RICH,0
New York,AD65,ED2,ANTHONY TONY HERBERT,0
New York,AD65,ED2,HELAL A. SHEIKH,0
New York,AD65,ED2,WRITE-IN,1
New York,AD65,ED3,MELISSA MARK-VIVERITO,15
New York,AD65,ED3,MICHAEL A. BLAKE,3
New York,AD65,ED3,DAWN L. SMALLS,3
New York,AD65,ED3,ERIC A. ULRICH,11
New York,AD65,ED3,YDANIS RODRIGUEZ,0
New York,AD65,ED3,DANIEL J. O'DONNELL,0
New York,AD65,ED3,RAFAEL L. ESPINAL JR.,1
New York,AD65,ED3,LATRICE M. WALKER,0
New York,AD65,ED3,JUMAANE D. WILLIAMS,30
New York,AD65,ED3,RON KIM,8
New York,AD65,ED3,BENJAMIN L. YEE,46
New York,AD65,ED3,A. MANNY ALICANDRO,1
New York,AD65,ED3,NOMIKI D. KONST,2
New York,AD65,ED3,DAVID EISENBACH,0
New York,AD65,ED3,JARED RICH,0
New York,AD65,ED3,ANTHONY TONY HERBERT,0
New York,AD65,ED3,HELAL A. SHEIKH,0
New York,AD65,ED3,WRITE-IN,1
New York,AD65,ED4,MELISSA MARK-VIVERITO,9
New York,AD65,ED4,MICHAEL A. BLAKE,5
New York,AD65,ED4,DAWN L. SMALLS,9
New York,AD65,ED4,ERIC A. ULRICH,15
New York,AD65,ED4,YDANIS RODRIGUEZ,0
New York,AD65,ED4,DANIEL J. O'DONNELL,1
New York,AD65,ED4,RAFAEL L. ESPINAL JR.,6
New York,AD65,ED4,LATRICE M. WALKER,0
New York,AD65,ED4,JUMAANE D. WILLIAMS,21
New York,AD65,ED4,RON KIM,2
New York,AD65,ED4,BENJAMIN L. YEE,2
New York,AD65,ED4,A. MANNY ALICANDRO,0
New York,AD65,ED4,NOMIKI D. KONST,1
New York,AD65,ED4,DAVID EISENBACH,2
New York,AD65,ED4,JARED RICH,0
New York,AD65,ED4,ANTHONY TONY HERBERT,0
New York,AD65,ED4,HELAL A. SHEIKH,0
New York,AD65,ED4,WRITE-IN,0
New York,AD65,ED5,MELISSA MARK-VIVERITO,0
New York,AD65,ED5,MICHAEL A. BLAKE,0
New York,AD65,ED5,DAWN L. SMALLS,0
New York,AD65,ED5,ERIC A. ULRICH,0
New York,AD65,ED5,YDANIS RODRIGUEZ,0
New York,AD65,ED5,DANIEL J. O'DONNELL,0
New York,AD65,ED5,RAFAEL L. ESPINAL JR.,0
New York,AD65,ED5,LATRICE M. WALKER,0
New York,AD65,ED5,JUMAANE D. WILLIAMS,0
New York,AD65,ED5,RON KIM,0
New York,AD65,ED5,BENJAMIN L. YEE,0
New York,AD65,ED5,A. MANNY ALICANDRO,0
New York,AD65,ED5,NOMIKI D. KONST,0
New York,AD65,ED5,DAVID EISENBACH,0
New York,AD65,ED5,JARED RICH,0
New York,AD65,ED5,ANTHONY TONY HERBERT,0
New York,AD65,ED5,HELAL A. SHEIKH,0
New York,AD65,ED5,WRITE-IN,0
New York,AD65,ED6,MELISSA MARK-VIVERITO,12
New York,AD65,ED6,MICHAEL A. BLAKE,12
New York,AD65,ED6,DAWN L. SMALLS,12
New York,AD65,ED6,ERIC A. ULRICH,77
New York,AD65,ED6,YDANIS RODRIGUEZ,2
New York,AD65,ED6,DANIEL J. O'DONNELL,14
New York,AD65,ED6,RAFAEL L. ESPINAL JR.,12
New York,AD65,ED6,LATRICE M. WALKER,0
New York,AD65,ED6,JUMAANE D. WILLIAMS,63
New York,AD65,ED6,RON KIM,24
New York,AD65,ED6,BENJAMIN L. YEE,28
New York,AD65,ED6,A. MANNY ALICANDRO,1
New York,AD65,ED6,NOMIKI D. KONST,9
New York,AD65,ED6,DAVID EISENBACH,10
New York,AD65,ED6,JARED RICH,0
