CD,elect_dist,AD,ED
CD10,71051,AD71,ED51
CD10,71052,AD71,ED52
CD10,71053,AD71,ED53
CD10,71057,AD71,ED57
CD10,71062,AD71,ED62
CD10,71063,AD71,ED63
CD10,71064,AD71,ED64
CD10,71066,AD71,ED66
CD10,71067,AD71,ED67
CD10,71076,AD71,ED76
CD10,71078,AD71,ED78
CD10,71079,AD71,ED79
CD10,71080,AD71,ED80
CD10,71093,AD71,ED93
CD10,71099,AD71,ED99
CD10,72005,AD72,ED5
CD10,72006,AD72,ED6
CD10,72007,AD72,ED7
CD10,72008,AD72,ED8
CD10,72010,AD72,ED10
CD10,72011,AD72,ED11
CD10,72012,AD72,ED12
CD10,72013,AD72,ED13
CD10,72014,AD72,ED14
CD10,72015,AD72,ED15
CD10,72016,AD72,ED16
CD10,72017,AD72,ED17
CD10,72020,AD72,ED20
CD10,72021,AD72,ED21
CD10,72022,AD72,ED22
CD10,72023,AD72,ED23
CD10,72024,AD72,ED24
CD10,72025,AD72,ED25
CD10,72026,AD72,ED26
CD10,72027,AD72,ED27
CD10,72028,AD72,ED28
CD10,72029,AD72,ED29
CD10,72030,AD72,ED30
CD10,72032,AD72,ED32
CD10,72034,AD72,ED34
CD10,72035,AD72,ED35
CD10,72036,AD72,ED36
CD10,72039,AD72,ED39
CD10,72040,AD72,ED40
CD10,72044,AD72,ED44
CD10,72045,AD72,ED45
CD10,72047,AD72,ED47
CD10,72048,AD72,ED48
CD10,72049,AD72,ED49
CD10,72050,AD72,ED50
CD10,72052,AD72,ED52
CD10,72053,AD72,ED53
CD10,72054,AD72,ED54
CD10,72055,AD72,ED55
CD10,72056,AD72,ED56
CD10,72059,AD72,ED59
CD10,72060,AD72,ED60
CD10,72061,AD72,ED61
CD10,72062,AD72,ED62
CD10,72063,AD72,ED63
CD10,72065,AD72,ED65
CD10,72067,AD72,ED67
CD10,72068,AD72,ED68
CD10,72069,AD72,ED69
CD10,72070,AD72,ED70
CD10,72071,AD72,ED71
CD10,72072,AD72,ED72
CD10,72073,AD72,ED73
CD10,72074,AD72,ED74
CD10,72075,AD72,ED75
CD10,72076,AD72,ED76
CD10,72077,AD72,ED77
CD10,72078,AD72,ED78
CD10,72086,AD72,ED86
CD10,72088,AD72,ED88
CD10,72089,AD72,ED89
CD10,72090,AD72,ED90
CD10,72091,AD72,ED91
CD10,72092,AD72,ED92
CD10,72093,AD72,ED93
CD10,72094,AD72,ED94
CD10,72096,AD72,ED96
CD10,72097,AD72,ED97
CD10,71074,AD71,ED74
CD10,72037,AD72,ED37
CD10,71065,AD71,ED65
CD10,71098,AD71,ED98
CD10,71075,AD71,ED75
CD10,71069,AD71,ED69
CD10,71072,AD71,ED72
CD10,71097,AD71,ED97
CD10,71070,AD71,ED70
CD10,71073,AD71,ED73
CD10,71061,AD71,ED61
CD10,71077,AD71,ED77
CD10,72051,AD72,ED51
CD10,72041,AD72,ED41
CD10,72043,AD72,ED43
CD10,71086,AD71,ED86
CD10,72038,AD72,ED38
CD10,72009,AD72,ED9
CD10,72079,AD72,ED79
CD10,72042,AD72,ED42
CD10,72046,AD72,ED46
CD10,71081,AD71,ED81
CD10,71084,AD71,ED84
CD10,71010,AD71,ED10
CD10,71082,AD71,ED82
CD10,72001,AD72,ED1
CD10,72002,AD72,ED2
CD10,72003,AD72,ED3
CD10,72004,AD72,ED4
CD10,72095,AD72,ED95
CD10,72031,AD72,ED31
CD10,72033,AD72,ED33
CD10,72087,AD72,ED87
CD10,72018,AD72,ED18
CD10,72019,AD72,ED19
CD10,72064,AD72,ED64
