County,AD,ED,Votes,Key
Bronx,AD77,ED1,20,77001
Bronx,AD77,ED10,0,77010
Bronx,AD77,ED11,173,77011
Bronx,AD77,ED12,109,77012
Bronx,AD77,ED13,0,77013
Bronx,AD77,ED14,117,77014
Bronx,AD77,ED15,0,77015
Bronx,AD77,ED16,110,77016
Bronx,AD77,ED17,102,77017
Bronx,AD77,ED18,52,77018
Bronx,AD77,ED19,143,77019
Bronx,AD77,ED2,81,77002
Bronx,AD77,ED20,0,77020
Bronx,AD77,ED21,104,77021
Bronx,AD77,ED22,138,77022
Bronx,AD77,ED23,158,77023
Bronx,AD77,ED24,0,77024
Bronx,AD77,ED25,78,77025
Bronx,AD77,ED26,0,77026
Bronx,AD77,ED27,88,77027
Bronx,AD77,ED28,72,77028
Bronx,AD77,ED29,0,77029
Bronx,AD77,ED3,100,77003
Bronx,AD77,ED30,0,77030
Bronx,AD77,ED31,0,77031
Bronx,AD77,ED32,65,77032
Bronx,AD77,ED33,0,77033
Bronx,AD77,ED34,88,77034
Bronx,AD77,ED35,0,77035
Bronx,AD77,ED36,97,77036
Bronx,AD77,ED37,81,77037
Bronx,AD77,ED38,0,77038
Bronx,AD77,ED39,77,77039
Bronx,AD77,ED4,0,77004
Bronx,AD77,ED40,0,77040
Bronx,AD77,ED41,0,77041
Bronx,AD77,ED42,87,77042
Bronx,AD77,ED43,57,77043
Bronx,AD77,ED44,88,77044
Bronx,AD77,ED45,91,77045
Bronx,AD77,ED46,0,77046
Bronx,AD77,ED47,134,77047
Bronx,AD77,ED48,61,77048
Bronx,AD77,ED49,185,77049
Bronx,AD77,ED5,117,77005
Bronx,AD77,ED50,121,77050
Bronx,AD77,ED51,0,77051
Bronx,AD77,ED52,32,77052
Bronx,AD77,ED53,80,77053
Bronx,AD77,ED54,57,77054
Bronx,AD77,ED55,103,77055
Bronx,AD77,ED56,0,77056
Bronx,AD77,ED57,0,77057
Bronx,AD77,ED58,171,77058
Bronx,AD77,ED59,0,77059
Bronx,AD77,ED6,0,77006
Bronx,AD77,ED60,0,77060
Bronx,AD77,ED61,0,77061
Bronx,AD77,ED62,90,77062
Bronx,AD77,ED63,0,77063
Bronx,AD77,ED64,0,77064
Bronx,AD77,ED65,114,77065
